,author,statement,date,source,target
213,Loreben Tuquero,“It was just Biden and Trump in 2020” general election ballots.,"13, November 2024",Threads posts,false
214,Maria Briceño,"""The Heritage Foundation is behind Project25. Their Director of Finance is David Green. Owner of Hobby Lobby.""","13, November 2024",Facebook posts,false
215,Kwasi Gyamfi,“Breaking News: ‘The Era of King Charles Has Ended’ – Buckingham Palace Raises the White Flag.”,"November • 13,",Facebook posts,pants-fire
216,Jeff Cercone,Elon Musk and Vivek Ramaswamy are “part of the World Economic Forum.”,"13, November 2024",Instagram posts,false
217,Ciara O'Rourke,"“NATO Secretary General Mark Rutte says that ‘if Trump surrenders Ukraine to Putin, he will personally expel the United States from the alliance.’”","13, November 2024",Threads posts,false
218,Ciara O'Rourke,"“Beyoncé excludes red states from tour, ‘This isn’t my America.’”","13, November 2024",Facebook posts,false
219,Ciara O'Rourke,"“Every state that does not require voter ID, Kamala won.”","13, November 2024",Instagram posts,false
220,Sofia Ahmed,"Kamala Harris’ campaign paid Oprah $1 million, Megan Thee Stallion $5 million, and Eminem $1.8 million.","13, November 2024",Instagram posts,barely-true
221,Jeff Cercone,Video shows Marco Rubio “admitting the Trump Presidency will lean heavily into the Heritage Foundation’s Project 2025 plans.”,"12, November 2024",Threads posts,false
222,Ciara O'Rourke,"Says Elon Musk said, “I am releasing $1,000 Tesla e-bike today!”","12, November 2024",Facebook posts,false
223,Maria Briceño,"“Elon Musk acepta pagar 3.000 millones de dólares para comprar CNN"".","12, November 2024",Instagram posts,false
224,Samantha Putterman,"""BREAKING: Zillow CEO just said on CNBC Trump's deportation plan will help with housing affordability.”","12, November 2024",Instagram posts,false
225,Caleb McCullough,“Elon Musk is taking sustainable technology to the next level with the Tesla Water Engine.”,"12, November 2024",Facebook posts,false
226,Ciara O'Rourke,“CBS (News) is reporting cheating in the election.”,"12, November 2024",Threads posts,false
227,Ciara O'Rourke,"Image shows U.S. Health and Human Services secretaries in the Biden administration and the incoming Trump administration as of Nov. 11, 2024.","12, November 2024",Viral image,false
228,Grace Abels,"“Taylor Swift Cancels Red State Shows After Massive Red Wave, ‘I Won’t Be Performing Here Anymore.’”","12, November 2024",Threads posts,false
229,Jeff Cercone,"""Arizona officials caught changing ballots, have been arrested.”","12, November 2024",Threads posts,false
230,Kwasi Gyamfi,Vice President Kamala Harris “has cleared her Instagram account and cryptically posted 3 videos of a snake.”,"November • 12,",Instagram posts,false
231,Caleb McCullough,“Paper ballots and hand counting never breaks down.”,"12, November 2024",Diamond and Silk,false
232,Madison Czopek,Elon Musk’s Starlink technology manipulated votes in the 2024 election to benefit Donald Trump.,"12, November 2024",Threads posts,pants-fire
233,Ciara O'Rourke,California Gov. Gavin Newsom “is considering plans to secede from the union.”,"11, November 2024",Threads posts,false
234,Louis Jacobson,Inflation-adjusted weekly wages “are lower today than they were 50 years ago.”,"11, November 2024",Bernie Sanders,false
235,Samantha Putterman,“Abortion is never medically necessary in the last trimester. Literally never. They just do a C-section.”,"11, November 2024",Threads posts,false
236,Maria Briceño,“‘Elon Musk sorprende al mundo con la adquisición de Ford’”.,"11, November 2024",Facebook posts,false
237,Sofia Ahmed,Donald Trump posted on Truth Social that Canada is “crumbling upon itself” because of Kendrick Lamar’s song “Not Like Us.”,"11, November 2024",Instagram posts,false
238,Grace Abels,"“Breaking: Quaker Oats bows to backlash, brings back Aunt Jemima.”","11, November 2024",Facebook posts,false
239,Sara Swann,"“In Nevada, the GOP is succeeding in throwing out the votes of thousands of young people.”","8, November 2024",Threads posts,barely-true
240,Ciara O'Rourke,Actor Sydney Sweeney “says she voted for Donald Trump.”,"8, November 2024",Viral image,false
241,Ciara O'Rourke,"Says Elon Musk posted on X, “Allow me to remind everyone of the United States overstepping its bounds by helping to end apartheid in my home country.”","8, November 2024",Viral image,false
242,Loreben Tuquero,"“2,038 suicides have been reported (Nov. 6) following Donald Trump’s election win.”","8, November 2024",Instagram posts,false
243,Ciara O'Rourke,“Nancy Pelosi stated today that if the Democrats get the House the first thing they’re going to do is impeach Donald Trump before he gets elected.”,"8, November 2024",Threads posts,false
244,Louis Jacobson,“Something stinks” that Donald Trump won in several battleground states while Democrats won Senate or governor races in those states.,"8, November 2024",Instagram posts,false
245,Ciara O'Rourke,Video shows “drunk Nancy Pelosi.”,"8, November 2024",Instagram posts,pants-fire
246,Jeff Cercone,Video shows 8.0 magnitude earthquake in Oregon.,"8, November 2024",Threads posts,pants-fire
247,Ciara O'Rourke,“Elon Musk: ‘I am officially buying McDonald’s.”,"8, November 2024",Facebook posts,false
248,Ciara O'Rourke,“Megyn Kelly and Candace Owens sign $700 million deal with CBS for morning show to compete with ‘The View.’”,"8, November 2024",Facebook posts,false
249,Madison Czopek,Santiago Flight 513 “landed after 35 years with 92 skeletons on board!”,"8, November 2024",Facebook posts,pants-fire
250,Maria Briceño,"Video shows floods in Valencia, Spain.","8, November 2024",Facebook posts,false
251,Grace Abels,“Elon Musk unveils UFO fighter jet that defies physics.”,"8, November 2024",Facebook posts,pants-fire
252,Marta Campabadal,Elon Musk is releasing a low-cost house.,"November • 8,",Facebook posts,false
253,Maria Ramirez,Photos show Keanu Reeves hawking T-shirts with political messages.,"November • 8,",Facebook posts,false
254,Ciara O'Rourke,Green Party presidential nominee Jill Stein cost Democratic nominee Kamala Harris an election win in Wisconsin.,"8, November 2024",Threads posts,false
255,Caleb McCullough,President-elect Donald Trump “has been to Epstein’s island”,"8, November 2024",Instagram posts,false
256,Grace Abels,“Elon Musk bans Stephen King permanently from platform X after he trolled the tech mogul.”,"8, November 2024",Threads posts,false
257,Madison Czopek,20 million Democratic votes “disappeared” in 2024.,"7, November 2024",Threads posts,pants-fire
258,Kwasi Gyamfi,Image shows Disney+ poster for new “Home Alone” sequel titled “Cabin Alone.”,"November • 7,",Facebook posts,false
259,Marta Campabadal,"“Elon Musk: ‘Voy a lanzar la NUEVA casa de Tesla de 15,000 dólares en 2025’”.","November • 7,",Facebook posts,false
260,Sofia Ahmed,"A CNN headline says “75,000 votes were write-ins for ‘Hawk Tuah’ and ‘Talk Tuah.’”","7, November 2024",Instagram posts,pants-fire
261,Jeff Cercone,“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,"7, November 2024",X posts,pants-fire
262,Maria Ramirez,“I think they found a way to target Democratic districts and send millions of votes into a black hole. The numbers aren't adding up.”,"November • 7,",Threads posts,pants-fire
263,Grace Abels,“Riley Gaines criticizes Whoopi Goldberg on The View: ‘You’re a disgrace to real women!’”,"7, November 2024",Threads posts,false
264,Sofia Ahmed,"“Kamala Harris simuló una llamada con un votante, pero por error mostró que su telefono tenía abierta la cámara y en realidad no estaba hablando con nadie”.","7, November 2024",Instagram posts,false
265,Sofia Ahmed,A video of Vice President Kamala Harris talking to a voter on the phone is fake because the camera app was on while she was on the call.,"6, November 2024",Instagram posts,false
266,Madison Czopek,The 2024 election results show that Joe Biden’s 80 million votes in 2020 were a “lie.”,"6, November 2024",Dinesh D'Souza,pants-fire
267,Jeff Cercone,"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.","6, November 2024",X posts,false
268,Gideon Hess,Videos show President-elect Donald Trump promised to help Pakistan’s former prime minister Imran Khan get out of prison and retake power.,"6, November 2024",Facebook posts,pants-fire
269,Grace Abels,“Mark Cuban’s net worth takes a $1 billion hit after controversial endorsement” of Kamala Harris,"6, November 2024",Threads posts,false
270,Maria Briceño,Kamala Harris wants people to stop saying “Merry Christmas.”,"6, November 2024",Instagram posts,false
271,Grace Abels,Pacific Gas & Electric Co. deliberately shut off power “on Republican voters” in California on Election Day.,"6, November 2024",X posts,false
272,Sofia Ahmed,A video showing conversations about noncitizen voting outside a Philadelphia city commissioners' office is proof of “Pennsylvania election fraud.”,"6, November 2024",X posts,false
273,Sofia Ahmed,"""Informan que las boletas electorales de Ohio muestran el nombre de Donald Trump mal escrito"".","6, November 2024",Threads posts,false
274,Kwasi Gyamfi,"“ICE officials have been ordered NOT to wear their uniforms or badges when they vote today"" so as not to intimidate noncitizens.","November • 6,",Instagram posts,barely-true
275,Ciara O'Rourke,Photo shows 2024 ballots cast for Republicans in North Carolina that a postal worker said he was going to make “disappear.”,"6, November 2024",Instagram posts,false
276,Maria Briceño,Imagen muestra al expresidente Donald Trump y a su esposa Melania Trump votando en las elecciones de 2024.,"6, November 2024",Facebook posts,false
277,Ciara O'Rourke,“Melania Trump quietly endorses Kamala Harris for president.”,"6, November 2024",Threads posts,false
278,Marta Campabadal,"""El Pentágono falló en enviar las boletas para el voto en ausencia al personal militar activo"".","November • 6,",X posts,false
279,Ciara O'Rourke,“Homeland Security is having a cybersecurity drill on the same day as the election.”,"6, November 2024",Viral image,false
280,Ciara O'Rourke,A Melania Trump impostor accompanied former President Donald Trump to the polls Nov. 5.,"5, November 2024",Threads posts,false
281,Sara Swann,Text message shows Turnout the Vote offering “$200 to vote for Kamala Harris.”,"5, November 2024",Instagram posts,false
282,Jeff Cercone,Nevada ballots “don’t even have to be postmarked to be counted” after the election.,"5, November 2024",Facebook posts,false
283,Ciara O'Rourke,"Says U.S. Rep. Jamie Raskin said, “Let folks cast their votes for Trump if that’s their choice. But mark my words, we won’t be certifying the election. He might win, but we’ll ensure he doesn’t step foot in the Oval Office.”","5, November 2024",Threads posts,false
284,Caleb McCullough,"A Nov. 5  ballot scanning error in Cambria County, Pennsylvania, shows ""the election steal is happening.""","5, November 2024",X posts,false
285,Ciara O'Rourke,Video shows Fox News contributors speculating about former President Donald Trump’s cognitive health.,"5, November 2024",Viral image,false
286,Sara Swann,“It’s now been confirmed by Dominion that their voting machines have a programming issue that will affect vote counts.”,"5, November 2024",Instagram posts,false
287,Ciara O'Rourke,"Former President Donald Trump posted on Truth Social, “I hate SNL.”","5, November 2024",Viral image,false
288,Sofia Ahmed,"A “ballot mule” was caught on camera Nov. 2 in Lincoln, Nebraska.","5, November 2024",Instagram posts,pants-fire
289,Jeff Cercone,"""The Pentagon reportedly failed to send absentee ballots to active military service members before the election.”","5, November 2024",Instagram posts,false
290,Ciara O'Rourke,Photo shows former President Donald Trump voting in the 2024 election in New York.,"5, November 2024",Instagram posts,false
291,Amy Sherman,"Gwinnett County, Georgia, sheriff's office said white supremacists “are planning to attack” Black people “from now until the Inauguration.”","5, November 2024",Facebook posts,pants-fire
292,Ciara O'Rourke,A photo shows actor Keanu Reeves holding an anti-Trump shirt.,"5, November 2024",Viral image,false
293,Ciara O'Rourke,Says Donald Trump Jr. “has a banner photo of Joe Biden being hung from a helicopter.”,"5, November 2024",Threads posts,false
294,Marta Campabadal,"""Haitianos afirman haber llegado a EEUU hace solo 6 meses y ya tienen documentos de legalidad que les permite votar en Georgia"".","November • 4,",X posts,pants-fire
295,Mia Osmonbekov,“Kari Lake is threatening Social Security and Medicare.”,"4, November 2024",WinSenate,half-true
296,Marta Campabadal,“Elon Musk está trabajando en un robot diseñado para llevar un bebé durante nueve meses”.,"November • 4,",Threads posts,false
297,Madison Czopek,“The United States Postal Service recently changed the delivery method of absentee mail-in ballots” to hide “the evidence of absentee mail-in ballot fraud.”,"4, November 2024",X posts,false
298,Kwasi Gyamfi,Photo shows Donald Trump statement condemning the Peanut the squirrel’s euthanasia,"November • 4,",Facebook posts,false
299,Caleb McCullough,"If a ballot has a small dot in the box for Vice President Kamala Harris, “any other box filled in, will be void.”","4, November 2024",Facebook posts,false
300,Maria Ramirez,An image shows CNN reporting that Vice President Kamala Harris has more votes than former President Donald Trump in Texas.,"November • 4,",X posts,pants-fire
301,Maria Briceño,Este video muestra a un votante en Kentucky tratando de votar por el expresidente Donald Trump y la máquina de votación no le deja.,"4, November 2024",Instagram posts,pants-fire
302,Sara Swann,Michael Jordan endorsed Donald Trump for president in the 2024 election.,"4, November 2024",X posts,false
303,Ciara O'Rourke,"Says Liz Cheney said, “Donald Trump is now literally threatening to have me killed. If you don’t want to live in a banana republic run by a senile man with some sort of Daffy Duck disease, vote for Kamala.”","4, November 2024",Threads posts,false
304,Jeff Cercone,"Former President Donald Trump posted on Truth Social and addressed claims about his use of a microphone, saying “I was pretending to eat a corn dog.”","4, November 2024",Threads posts,false
305,Jeff Cercone,Video shows Kamala Harris has a “drinking problem.”,"4, November 2024",Instagram posts,pants-fire
306,Gideon Hess,The FBI seized a video of former Secretary of State Hillary Clinton killing a child at a Sean “Diddy” Combs party.,"3, November 2024",Instagram posts,pants-fire
307,Aaron Sharockman,Dominion Voting Systems employee Eric Coomer told an Antifa meeting he “made sure” Donald Trump wouldn’t win.,"3, November 2024",Instagram posts,false
308,Aaron Sharockman,“Joe Rogan says he will not be voting for Trump after having him on the podcast.”,"3, November 2024",Threads posts,false
309,Amy Sherman,Video shows the FBI reported that “three linked groups have been apprehended for rigging early voting by mail-in ballot.”,"3, November 2024",X posts,pants-fire
310,Amy Sherman,"Vice President Kamala Harris and husband Doug Emhoff received $500,000 for tipping off Sean “Diddy” Combs about police raids.","2, November 2024",Patriot Voice,pants-fire
311,Louis Jacobson,“I never mentioned” wanting to end the Affordable Care Act.,"2, November 2024",Donald Trump,pants-fire
312,Sofia Ahmed,“The lady who leaked passwords for voting systems in Colorado is the same person who tried to remove Trump from the ballot.”,"2, November 2024",Libs of TikTok,barely-true
313,Sofia Ahmed,“Ballots in Ohio are showing Trump’s name misspelled!”,"1, November 2024",X posts,false
314,Andy Nguyen,Vice President Kamala Harris’ mother “worked the MK Ultra program” and was “involved in secret mind-control experiments.”,"1, November 2024",Instagram posts,pants-fire
315,Madison Czopek,Video shows a ‘Democratic operative’ making credible allegations of fraud during the 2020 presidential election in Georgia.,"1, November 2024",Instagram posts,false
316,Loreben Tuquero,"A video shows Haitians showing duplicate IDs, claiming they are voting for Vice President Kamala Harris in multiple Georgia counties.","1, November 2024",X posts,pants-fire
317,Louis Jacobson,Former President Donald Trump would “force states to monitor women's pregnancies.”,"1, November 2024",Kamala Harris,false
318,Jeff Cercone,"Video shows “ballot mule in Northampton County, Pennsylvania, (dropping) off a large amount of ballots.”","1, November 2024",X posts,pants-fire
319,Sara Swann,Video shows “voting machines in Kentucky are not allowing voters to select” Donald Trump for president.,"1, November 2024",Social Media,pants-fire
320,Maria Briceño,Video muestra que “‘votantes’ ilegales SE COLARON a LA FILA OTRA VEZ! En Pensilvania estado clave”.,"1, November 2024",X posts,false
321,Caleb McCullough,Photos show “Trump funded signs with swastikas on them.”,"1, November 2024",Threads posts,false
322,Seth A.,Republican Senate candidate Sam Brown “wants to cut Medicaid and Social Security.”,"November • 1,",Make the Road Nevada,half-true
323,Grace Abels,"“As California attorney general, (Kamala Harris) redefined child sex trafficking, assault with a deadly weapon, and rape of an unconscious person as a totally nonviolent crime.”","1, November 2024",Donald Trump,false
324,Kwasi Gyamfi,"In Glynn County, Georgia, it was 'voter fraud' when poll workers found no record of a person who already voted.","October • 31,",Facebook posts,false
325,Jeff Cercone,"Data shows some voters cast multiple votes, meaning ""at least 164,568 illegal votes have been cast” in Michigan.","31, October 2024",Facebook posts,false
326,Ciara O'Rourke,"U.S. Rep. Marjorie Taylor Greene said on X, “New York and California are absolutely flipping red.”","31, October 2024",Viral image,false
327,Ciara O'Rourke,"Vice President Kamala Harris didn’t respond to questions about a cognitive test in a CBS News interview that aired Oct. 28, 2024.","31, October 2024",Viral image,false
328,Ciara O'Rourke,An E. coli outbreak followed former President Donald Trump’s campaign stop at a Pennsylvania McDonald’s.,"31, October 2024",Threads posts,false
329,Ciara O'Rourke,Photos show Vice President Kamala Harris when she was “a former call girl in California.”,"31, October 2024",Viral image,pants-fire
330,Louis Jacobson,Sen. Jon Tester “voted to let men compete against our girls in their sports.”,"31, October 2024",Senate Leadership Fund,false
331,Maria Briceño,"El expresidente Donald Trump “se vistio de negro y dorado, colores del grupo Proud Boys” en mitín en el Madison Square Garden el 27 de octubre del 2024.","31, October 2024",X posts,false
332,Jacob Gardenswartz,"""Right to Try"" experimental drug program saved ""thousands and thousands of lives.""","31, October 2024",Donald Trump,false
333,Paul Specht,“I’ve not gotten a single call from the White House.”,"31, October 2024",Tim Moore,barely-true
334,Maria Briceño,“Revolucionarios Comunistas de América” marcharon a favor de Kamala Harris.,"31, October 2024",Instagram posts,pants-fire
335,D.L. Davis,Says opponent Eric Hovde “opposes efforts to negotiate with the big pharmaceutical companies to lower the price of prescription drugs.”,"31, October 2024",Tammy Baldwin,barely-true
336,Marta Campabadal,"Video shows Kamala Harris saying, “Trump is literally Hitler,” on Joe Rogan’s podcast.","October • 31,",Threads posts,pants-fire
337,Marta Campabadal,"""El fondo de innovación para la deuda americana está ayudando a los hispanoamericanos a borrar hasta $50,000 de deuda de tarjetas de crédito...para evitar otra recesión"".","October • 31,",Facebook posts,false
338,Amy Sherman,"In Lancaster, Pa., “We caught them with 2,600 votes. We caught them cold, 2,600 votes. ... And every vote was written by the same person.""","30, October 2024",Donald Trump,false
339,Sofia Ahmed,Kamala Harris paid The Shade Room to interview her “for perceived support amongst black voters.”,"30, October 2024",Instagram posts,false
340,Sara Swann,Video shows “illegal ‘voters’ cutting the line” to vote in Pennsylvania.,"30, October 2024",Instagram posts,false
341,Jeff Cercone,"""AOC is worth 29 Million dollars! How did that happen, on $174,000 per year?""","30, October 2024",Threads posts,pants-fire
342,Ciara O'Rourke,Video shows people “marching in Puerto Rico” after former President Donald Trump’s Madison Square Garden rally.,"30, October 2024",Threads posts,false
343,Kwasi Gyamfi,"In Fordyce, Arkansas, voting machines changed votes from Republican to Democrat.","October • 30,",Facebook posts,pants-fire
344,Madeline Heim,Says Eric Hovde “claims anyone who believes in transitioning to a clean energy economy is ‘smoking crack cocaine.’”,"30, October 2024",Climate Power,false
345,Jeff Cercone,"“Feds RAID Jay Z & Beyonce Mansion After Diddy LINKS,” arrest couple.","30, October 2024",Threads posts,false
346,Sofia Ahmed,A Montana Democratic operative was caught tampering with a ballot box.,"30, October 2024",Facebook posts,false
347,Ciara O'Rourke,A Pennsylvania TV station aired the 2024 presidential election results early.,"30, October 2024",Viral image,half-true
348,Ciara O'Rourke,"Former President Donald Trump wore “Proud Boy gang colors” Oct. 27, 2024, at Madison Square Garden.","30, October 2024",Instagram posts,false
349,Mia Penner,Image shows an anti-Trump billboard outside Madison Square Garden.,"29, October 2024",X posts,false
350,Ciara O'Rourke,"""The cocaine found in the White House was Kamala’s.”","29, October 2024",Instagram posts,false
351,Ciara O'Rourke,“Kamala campaign photoshops her with a McDonald’s uniform!”,"29, October 2024",Instagram posts,false
352,Madison Czopek,"At Vice President Kamala Harris’ Houston campaign rally, when an attendee had a medical emergency, none of the “abortion doctors” onstage helped.","29, October 2024",Instagram posts,false
353,Gideon Hess,Photos show federal authorities arrested and charged a clone instead of the real Sean “Diddy” Combs.,"29, October 2024",Instagram posts,pants-fire
354,Jeff Cercone,"""Nicki Minaj just endorsed Donald Trump for President.”","29, October 2024",Social Media,false
355,Seth A.,“Jacky Rosen voted to allow biological men to compete in women’s sports.”,"October • 29,",Sam Brown,false
356,Louis Jacobson,"“In Montana, we cherish our public lands. But Tim Sheehy called to transfer them off, so the ultra-rich can buy them up.”","29, October 2024",Jon Tester,false
357,Maria Briceño,El expresidente Donald Trump dijo “ESTOY PIDIENDO LA PENA DE (MUERTE) PARA CUALQUIER MIGRANTE”.,"29, October 2024",Facebook posts,false
358,Kwasi Gyamfi,"There are “180,000 registered new Amish voters in Lancaster, Pennsylvania.”","October • 29,",X posts,false
359,Ricardo Torres,“Milwaukee is one of the sex trafficking capitals in our country.”,"29, October 2024",Eric Hovde,mostly-true
360,Ciara O'Rourke,“Elon Musk launches new pregnancy robot.”,"29, October 2024",Facebook posts,false
361,Jeff Cercone,Vice Presidential nominee Tim Walz “says that if Democrats win they’ll make (U.S. Rep. Alexandria Ocasio-Cortez) speaker of the house.”,"29, October 2024",Instagram posts,false
362,Maria Briceño,"""Circula este video de un hombre que rompe los votos para Donald Trump y guarda las de Kamala Harris”.","28, October 2024",Instagram posts,pants-fire
363,Sofia Ahmed,An old photo shows Kamala Harris in a McDonald’s uniform.,"28, October 2024",Social Media,false
364,Grace Abels,“Beyonce got paid $10 MILLION for her speech” at a Kamala Harris rally.,"28, October 2024",Instagram posts,false
365,Loreben Tuquero,"Four Florida counties had “zero results” Oct. 26, and “something underhanded might be happening.”","28, October 2024",Threads posts,false
366,Gideon Hess,Photo shows people lined up outside Madison Square Garden before an Oct. 27 rally by former President Donald Trump.,"28, October 2024",X posts,false
367,Caleb McCullough,"Sen. Bob Casey ""has voted in lockstep with his liberal party to defund the police.""","28, October 2024",Dave McCormick,false
368,Madison Czopek,“BREAKING: Lizzo charged the Harris-Walz campaign $2.3 million for a single appearance at a Detroit rally.”,"28, October 2024",X posts,false
369,Louis Jacobson,“Ballots are not supposed to have fold lines or creases in the candidates name area” or it could invalidate your vote.,"26, October 2024",Facebook posts,false
370,Paul Specht,"Scott Lassiter “repeatedly campaigned to promote” North Carolina's “largest-ever” school funding cut, sending public school money to “unaccountable private schools” and ending science education.","25, October 2024",Lisa Grafstein,false
371,Loreben Tuquero,"Video shows an election worker destroying mail ballots with votes for former President Donald Trump in Bucks County, Pennsylvania.","25, October 2024",X posts,pants-fire
372,Sofia Ahmed,Kamala Harris’ statements about Trump invoking Adolf Hitler were based on a “debunked hoax from The Atlantic.”,"25, October 2024",Threads posts,false
373,Kwasi Gyamfi,"Kamala Harris ""proclaimed she would not accept the outcome of the election and has a team of lawyers ready to overturn them""","October • 25,",Instagram posts,false
374,Samantha Putterman,Kamala Harris imprisoned a woman for three years for praying.,"25, October 2024",Instagram posts,false
375,Maria Briceño,“El gobernador de la Florida dice que por el momento va a pausar” la ley S.B. 1718 porque necesitan que los hispanos reconstruyan el estado tras la destrucción del huracán Milton.,"25, October 2024",Instagram posts,false
376,Jeff Cercone,"""The Defense Department, with the stroke of a pen, has quietly codified its right to deploy lethal force against its own citizens.”","25, October 2024",Social Media,false
377,Marta Campabadal,El expresidente Donald Trump quiere eliminar la Ley del Cuidado de Salud a Bajo Precio.,"October • 25,",Kamala Harris,half-true
378,Ciara O'Rourke,“Land O Lakes has announced the return of the iconic squaw to its packaging.”,"25, October 2024",Viral image,false
379,Mia Osmonbekov,"""Ruben Gallego wanted to defund the police. He actually co-sponsored legislation to defund the police.”","25, October 2024",Kari Lake,false
380,Ciara O'Rourke,"“The cheat has begun” because “Michigan, Georgia and Pennsylvania have officially announced that they will not have election results available on election night.”","25, October 2024",Threads posts,false
381,Sofia Ahmed,The Biden-Harris administration “brought over” 10 million migrants who got 9 million jobs.,"25, October 2024",Threads posts,false
382,D.L. Davis,Ballot drop boxes 'were only used for a pandemic.',"25, October 2024",Eric Hovde,false
383,Samantha Putterman,Vice President Kamala Harris has been “going so far as to call me Adolf Hitler.”,"24, October 2024",Donald Trump,false
384,Jeff Cercone,"Voting machines in Shelby County, Tennessee, are swapping votes from Kamala Harris to Donald Trump.","24, October 2024",Instagram posts,pants-fire
385,Loreben Tuquero,"“Schaumburg, Illinois not recording votes, just putting votes ‘in a box.’”","24, October 2024",Social Media,false
386,Louis Jacobson,"""As of today, we have cut the flow of immigration by over half.""","24, October 2024",Kamala Harris,true
387,Kwasi Gyamfi,"""Breaking: Voters in Tarrant County, Texas are reporting that the voting machines are flipping their votes from Trump to Kamala Harris.""","October • 24,",Facebook posts,pants-fire
388,Ciara O'Rourke,"“Elon Musk reportedly eyeing CNN acquisition: ‘I’ll fix the media, one network at a time.’”","24, October 2024",Threads posts,false
389,Ciara O'Rourke,“Elon Musk urges a boycott of ABC Network: ‘Let’s take them down!’”,"24, October 2024",Facebook posts,false
390,Ciara O'Rourke,Lt. Gen. H.R. McMaster was arrested “for aiding FEMA in deep state’s ‘eminent domain’ takeover of North Carolina.”,"24, October 2024",Viral image,false
391,Caleb McCullough,Michigan U.S. Senate candidate Mike Rogers “wants to cut Medicare and Social Security.”,"24, October 2024",United Auto Workers,false
392,Marta Campabadal,Former President Donald Trump wants to take away the Affordable Care Act.,"October • 24,",Kamala Harris,half-true
393,Maria Briceño,"""Se ha desaparecido el famoso Dr. Juan Rivera después de revelar este simple secreto de salud que podría dejar los hospitales vacíos"", la ashwagandha.","24, October 2024",Facebook posts,pants-fire
394,Laura Schulte,Says opponent Eric Hovde “supports a $4 trillion tax plan that would disproportionately advantage the well-off and profitable corporations”,"24, October 2024",Tammy Baldwin,mostly-true
395,Madison Czopek,A photo shows The Atlantic published a story headlined “Trump is Literally Hitler.”,"23, October 2024",X posts,false
396,Ciara O'Rourke,"“Breaking news: Elon Musk endorses Caitlin Clark, will soon donate $10 million: ‘You are the pride of America, I support you.’”","23, October 2024",Facebook posts,false
397,Sofia Ahmed,Jussie Smollett is Kamala Harris’ nephew.,"23, October 2024",Instagram posts,false
398,Loreben Tuquero,"""Reports from Whitfield County, GA that Dominion machines are flipping votes. This is exactly the kind of fraud we saw in 2020.""","23, October 2024",Marjorie Taylor Greene,pants-fire
399,Ciara O'Rourke,“BREAKING: Diddy hospitalized after being jumped in prison.”,"23, October 2024",Instagram posts,false
400,Ciara O'Rourke,"“Liberal woman films herself eating dog food” because she said, “I’m eating dog food until Kamala is president.”","23, October 2024",Instagram posts,pants-fire
401,Sara Swann,Michigan has “more registered voters than eligible citizens. This creates a huge risk of election fraud.”,"23, October 2024",X posts,false
402,Louis Jacobson,Vice President Kamala Harris “wants struggling seniors to pay more Social Security taxes while she gives Medicare and Social Security to illegals.”,"23, October 2024",Donald Trump,false
403,Kwasi Gyamfi,“Breaking: Florida Governor Ron DeSantis says Dominion voting systems will NOT operate in the state of Florida. ”,"October • 23,",Threads posts,false
404,Sam Whitehead,“We're bankrupting a lot of hospitals by forcing these hospitals  to provide care for people who don't have the legal right to be in our country.”,"23, October 2024",JD Vance,false
405,Louis Jacobson,"“There was a bill to basically create a ban to make sure we never become a sanctuary state, that no locality passes those regulations, and (former Manchester Mayor Joyce Craig) opposed that bill.”","23, October 2024",Kelly Ayotte,mostly-true
406,Louis Jacobson,"Gubernatorial candidate Kelly Ayotte “has voted for national abortion bans, she has voted to defund Planned Parenthood, and she shepherded Neil Gorsuch through the Supreme Court process, and then celebrated when Roe v. Wade was overturned.”","23, October 2024",Joyce Craig,half-true
407,Mia Penner,"If an election worker writes anything on your ballot before you put it in the voting machine, “your ballot could be disqualified.”","23, October 2024",Instagram posts,false
408,Ciara O'Rourke,The Oregon secretary of state “removed” former President Donald Trump and U.S. Sen. JD Vance from “the official state website.”,"22, October 2024",Instagram posts,false
409,Ciara O'Rourke,“Melania Trump declares that she wants a divorce.”,"22, October 2024",Facebook posts,pants-fire
410,Sofia Ahmed,Donald Trump offered “food for everyone” at his McDonald’s press conference and then left without paying.,"22, October 2024",Threads posts,false
411,Caleb McCullough,"To pay for extending the Trump tax cuts, Dave McCormick has “made clear he’ll slash your Medicare and Social Security, and cut Medicaid for nursing home care.”","22, October 2024",Bob Casey,false
412,Ciara O'Rourke,Photo shows former President Donald Trump sitting on a black towel on “Fox & Friends” because “they don’t want him to stain the sofa.”,"22, October 2024",Threads posts,pants-fire
413,Ciara O'Rourke,“Breaking news: Megyn Kelly calls for boycott of Taylor Swift after singer attends charity event in Gaza.”,"22, October 2024",Threads posts,false
414,Ciara O'Rourke,Video shows “Karl Rove rallying support for Kamala Harris yesterday in Pennsylvania.”,"22, October 2024",Threads posts,false
415,Grace Abels,A pro-Kamala Harris website shows she supports a mandatory gun buyback program.,"21, October 2024",Progress 2028,false
416,Sofia Ahmed,“GA election official Gabriel Sterling says audits will take place after election day because it’s ‘nerve-racking’ to count ballots in front of poll watchers.”,"21, October 2024",Instagram posts,false
417,Jeff Cercone,"""Michael Jackson discovered alive at age 65” and will testify against Sean “Diddy” Combs.","21, October 2024",Facebook posts,pants-fire
